Título_Obra,ID_NumRevista,ID_Autor,Nombre_firma
"""El matrimonio de la Princesa real de Inglaterra [...]""- ""Hace algunos años que un banquero muy rico [...]""-""Varios periódicos franceses y del extranjero [...]""",10,3,No firma
A la Poesía. Oda,10,19,Manuel García González
A mi buen amigo el distinguido escritor don Alejandro Dumas en prueba de sincera amistad,10,3,Emilia Serrano de Wilson
A la luna. Soneto,10,20,Federico Utrera
Las apariencias engañan. Historia-cuento,11,3,No firma
"""El viaje de SS. AA. [...]""-""El sábado a la una [...]""-""El príncipe Mirza-Ally-Kan-Bahadoor [...]""-""Habláse mucho en los círculos aristocrático de un matrimonio [...]""",11,3,Emilia Serrano de Wilson
El invierno,11,14,María del Pilar Sinués de Marco
La hada azul,12,21,Leon Gozlan
"""El lunes 5 del corriente se ha inaugurado [...]""-""Vamos a contar una historia ocurrida en estos días de Pascua""-""Cuando Ismail, generalísimo del ejército otomano [...]""",12,3,Emilia Serrano de Wilson
El navío Leviatán,12,8,Ángela Grassi
Ayes del corazón,12,10,J. M. Torres Caicedo
Carta de M. de Lamartine,13,22,Lamartine
Introducción,13,5,Eugenio Guillemot
Isabel II,13,3,E. S. de W.
Hamlet,13,23,Jorge Sand
"""Lo que cada lector pide [...]""-La trata de blancas-De la decadencia de las costumbres-""La Malibran recibía en Londres [...]""-""El gobierno del Brasil [...]""",13,5,Eugenio Guillemot
"""Consignamos la acarta original qu enos ha dirigido M. de Lamartine [...]""",14,22,Lamartine
Porvenir de la raza latina y de la Francia en el Nuevo-Mundo. Introducción,14,5,Barón Eug. Guillemot
Confederación Argentina y república del Uruguay-Le Paraguay,14,5,Eug. Guillemot
S. M. La emperatriz de los franceses,14,3,
Cursos familiares de literatura. La pintura,14,22,A. de Lamartine
El perro de Zurbarán,14,24,E. de Montlaur
Serenatas. Introducción. (Fragmentos),14,9,José Zorrilla
"Lo que viene a ser un periodista inglés-""Ha sucedido en los alrededores de Filadelfia [...]""-Máximas",14,5,Eug. Guillemot
"Recuerdo. Un baile en el hotel de Ville, en 1859",15,25,A. A. de Orihuela
Abertura del Paraguay y de los ríos,15,5,Eugenio Guillemot
La Escma. Sra. Dª Gertrudis Gómez de Avellaneda,15,3,Emilia Serrano de Wilson
El 20 de marzo,15,5,Barón Eug. Guillemot
Cursos familiares de literatura. Leopoldo Robert,15,22,A. de Lamartine
Leyenda pastoral,15,25,A. A. de Orihuela
La dalia,15,18,Fernando José Gargollo
"""Leemos en el Monitor  [...]""-""Según el 'Anuario diplomático de 1859' [...]""-""Hace algunas semanas que los diarios del Alto y del Bajo Rin [...]""-""He aquí la siguiente anécdota [...]""-""Un curioso ha dicho [...]""-""El matrimonio del hijo mayor [...]""-Savonnette a vilain",15,5,Eug. Guillemot
Carta de Ramón de la Sagra,16,26,Ramón de la Sagra
Artículo I. Los Estados-Unidos y el Paraguay,16,5,Barón Eug. Guillemot
Costumbres andaluzas. Los dos marineros,16,25,A. A. de Orihuela
Viaje por un vestido de boda,16,3,Emilia Serrano de Wilson
SS. AA. II el príncipe y la princesa Napoleón,16,3,Emilia Serrano de Wilson
El miércoles de ceniza,16,27,José Guell y Renté
Cursos familiares de literatura. Leopoldo Robert. (Conclusión),16,22,A. de Lamartine
"""Pues que en nuestros días se hacen tantos adelantos en la fotografía [...]""-""Acaba de llegar de San Petesburgo [...]""-""El Entreacto publica un acarta fechada en Génova [...]""",16,5,Eugenio Guillemot
Memorándum especial por la guerra de Italia,17,5,Barón Eug. Guillemot
Introducción,17,25,A. A. de Orihuela
Pbro. D. Félix Varela,17,28,Ramón Zambrana
Las flores de mayo,17,23,Jorge Sand
A la catedral de Bron,17,3,Em. S. de Wilson
,17,25,A. A. de Orihuela
Viaje al rededpr de un vestido de boda. (Conclusiones),17,3,Emilia Serrano de Wilson
Artículo II. Los Estados-Unidos y el Paraguay,17,5,Barón Eug. Guillemot
Una de tantas,17,4,Santiago de Palacios
"""Para que se vea cómo los principales intereses y amortización de la Deuda pública [...]""",17,5,Barón Eug. Guillemot
Carta de M. Alejandro Dumas,18,6,Alexandre Dumas
Carta del Sr. Guillemot,18,5,Barón Eug. Guillemot
Napoleón III,18,5,M. Guillemot
Víctor Manuel II,18,5,M. Guillemot
El oso,18,25,A. A. de Orihuela
Poesía. A mi amigo Mariano G. Manrique,18,25,A. A. de Orihuela
Perfil inglés,18,29,Paul Féval
La ostra,19,25,A. A. de Orihuela
Poesía. A Napoleón III,19,25,A. A. de Orihuela
A una tumba en el cementerio de Montmartre. (Fragmento),19,3,Emilia Serrano de Wilson
Consideraciones sobre los vestidos,19,30,Mme. Malvina
Gran batalla de Solferino,19,5,Barón Eug. Guillemot
Memorándum especial por la guerra de Italia,20,5,Barón Eug. Guillemot
Batalla de Solferino. El emperador a la emperatriz,20,31,Napoleón
Ejército de Italia. Proclama,20,31,Napoleón
La entrevista de Villafranca. Nuevos detalles,20,31,Napoleón
"El mariscal Vaillant, mayor general del ejército de Italia",20,5,Eug. Guillemot
Poesía. Costumbres andaluzas. Un baile de candil,20,25,A. A. de Orihuela
A S. M. el emperador Napoleón III (Fragmentos),20,3,Em. Serrano de Wilson
Mi fotografía,20,4,Santiago Infante de Palacios
El festín de Baltasar. Estudio bíblico,20,25,A. A. de Orihuela
Quién es el...,20,3,Em. Serrano de Wilson
"""La primera quincena del mes de agosto [… ]""",21,5,Eug. Guillemot
El general Garibaldi,21,3,Em. Serrano de Wilson
En sus días,21,3,Em. Serrano de Wilson
A la Señora Doña Emilia Serrano de Wilson en débil muestra de aprecio,21,32,Juan J. Cañas
Offland,21,65,A. Dumas (hijo)
La señorita doña María Verdejo y Durán,22,14,María del Pilar Sinués de Marco
Una cifra en un ciprés,22,33,María Verdejo y Durán
María Leczinska,22,21,Leon Gozlan
Composición de la ópera Otello por Rossini,22,34,J. A. de Zanné
El robo del niño de la señora Hua,22,3,
La señora doña Carolina Coronado,23,3,
La granadina. Marcha guerrera,23,3,Emilia Serrano de Wilson
El genio,23,8,Ángela Grasi
María Leczinska,23,21,Leon Gozlan
El coro de los ángeles,23,35,Pedro Antonio de Alarcón
El kaleidescopio,25,3,Emilia Serrano de Wilson
El duelo de las mujeres,25,36,
Los secretos de la hermosura,25,3,No firma
A la niña Adelaida. En su día,26,37,Francisco Xavier de Acha
Esther,26,38,
Origen de algunos instrumentos. La guitarra,26,39,F. Salvador Daniel
Tetuán,26,3,Emilia Serrano de Wilson
El duelo de las mujeres. (Continuación.),26,36,
Secretos de la hermosura. (Continuación),26,3,E. S. de W.
L a vuelta de la golondrina. (Fragmentos),27,3,Em. Serrano de Wilson
El duelo de las mujeres. (Continuación.),27,36,
Secretos de la hermosura. (Continuación),27,3,No firma
El sauce,28,40,Fernando Martínez Pedrosa
Balada,28,40,Fernando Martínez Pedrosa
El duelo de las mujeres. (Continuación.),28,36,
La hermana de Velázquez,28,14,María del Pilar Sinués de Marco
La cuaresma del amor,28,41,Rafael García y Santisteban
Lo mejor de una niña,29,15,Antonio de Trueba
El duelo de las mujeres. (Continuación.),29,36,
El museo viviente: colección de cuadros sociales. Cuadro primero: doña Eulogia,29,42,Joaquín María de Tejada
La hermana de Velázquez,29,14,María del Pilar Sinués de Marco
La oliva. A la paz entre España y Marruecos,30,40,Fernando Martínez Pedrosa
Descripción del teatro de D. José Piquer,30,3,No firma
El duelo de las mujeres. (Continuación.),30,36,
La hermana de Velázquez,30,14,María del Pilar Sinués de Marco
El ángel de la inclusa,30,43,Robustiana Armiño de Cuesta
Los espejos mágicos. Cuento fantástico,31,44,E. Sánchez de Fuentes
Cartas de Cuba. Cojimar,31,45,Juan Güell y Renté
"""Días pasados se hallaba en el bosque [...]""- ""La ópera de Verdi [...]""-""El marqués de Casa-Riera [...]""-""No podemos resistir el deseo de copiar [...]""",31,3,No firma
La  cama de matrimonio. Balada,32,46,Juan Eugenio Hartzembusch
Las dos tumbas. Dolora,32,47,Campoamor
A Colón,32,3,Emilia Serrano de Wilson
Una madre,32,8,Ángela Grassi
Un baile de manga larga,32,41,Rafael García y Santisteban
La heredad bendecida,32,3,Emilia Serrano de Wilson
Esto y aquello,32,40,Fernando Martínez Pedrosa
Macahé,32,3,
A Emilia. En su álbum,33,14,"Sinués de Marco, María del Pilar"
La ascensión del Señor,33,3,Emilia Serrano de Wilson
Una madre,33,8,Ángela Grassi
Cartas de Cuba. El conuco del indio,33,45,Juan Güell y Renté
Amor y fe,33,48,Joaquín Sánchez de Fuentes
Las dos rosas,33,3,Emilia Serrano de Wilson
Griseldina,33,49,No firma
A mi sobrina Araceli Abril de Armendi,34,50,Pilar de Armendi de García de Paredes
El mensage,34,51,Eulogio Florentino Sanz
Griseldina,34,49,Alfredo des Essarts
Cartas de Cuba. El conuco del indio,34,45,Juan Güell y Renté
Una caricia puede curar un defecto,34,52,Francisca Carlota del Riego Pica
Sin princpio ni fin.,34,48,Joaquín Sánchez de Fuentes
La felicidad,34,14,No firma
En el álbum de una niña,35,12,Carolina Coronado
El arte. Oda,35,3,Emilia Serrano de Wilson
A una dama muy galanteada. En su álbum,35,53,José Gutiérrez de la Vega
Sin princpio ni fin. Novela de costumbres contemporáneas,35,48,Joaquín Sánchez de Fuentes
La felicidad,35,14,María del Pilar Sinués de Marco
Periquito el Veleidoso,35,3,Emilia Serrano de Wilson
Cartas de Cuba (III). El conuco del indio,35,45,Juan Güell y Renté
A Santo Domingo,36,3,Emilia Serrano de Wilson
El toque de la oración,36,15,Antonio de Trueba
Soledad,36,45,Juan Güell y Renté
Sin princpio ni fin. Novela de costumbres contemporáneas,36,48,Joaquín Sánchez de Fuentes
Los bailes campestres en Santander,36,52,Francisca Carlota del Riego Pica
Periquito el Veleidoso (Conclusion),36,3,Emilia Serrano de Wilson
Duelos de amor,36,43,Robustiana Armiño de Cuesta
"""Allende los mares mora [...]""",37,50,Pilar de Armendi
A la señora doña Emila Serrano de Wilson en su álbum,37,44,Eugenio Sánchez de Fuentes
En el álbum de la señorita J. R.,37,53,José Gutiérrez de la Vega
Carta,37,41,Rafael García y Santisteban
Cada cual en su lugar,37,3,Emilia Serrano de Wilson
Duelos de amor (Conclusión.),37,43,Robustiana Armiño de Cuesta
Rolandseck. Tradición,37,3,Emilia Serrano de Wilson
Secretos del tocador,37,3,
La madre de la marquesa,38,54,Edmond About
Poesía,38,52,Francisca Carlota del Riego Pica
Ilusión. A el...,38,3,
La violeta. Soneto,38,44,Eugenio Sánchez de Fuentes
La verdad del sentimiento,38,40,Fernando Martínez Pedrosa
De la poesía. Su oportunidad y su objeto,38,55,Emilia Mijares de Real
Cada cual en su lugar (Conclusión.),38,3,Emilia Serrano de Wilson
Viaje de SS. MM.,38,52,Francisca Carlota del Riego Pica
Mariquita,38,3,Emilia Serrano de Wilson
"""Entre las aventuras numerosas [...]""-""Cuando el general Bonaparte [...]""-""Es notable lo siguiente [...]""",38,3,Sin firma
La madre de la marquesa (Continuación),39,54,Edmond About
El sargento Pérez. Episodio de dominación francesa en Santo Domingo,39,3,
Sin princpio ni fin. Novela de costumbres contemporáneas,39,48,Joaquín Sánchez de Fuentes
Los pájaros,39,3,Emilia Serrano de Wilson
Una flor,39,45,Juan Güell y Renté
La moneda de oro,39,3,Emilia Serrano de Wilson
"Matrimonios por anuncios-Los baños de Biarritz-""Hace pocos días [...]""",39,3,Sin firma
La madre de la marquesa (Continuación),40,54,Edmond About
A Sevilla,40,44,Eugenio Sánchez de Fuentes
"Soneto. ""Un año más [...]""",40,56,Adelardo López de Ayala
Carta I. Monserrat,40,14,María del Pilar Sinués de Marco
La moneda de oro,40,3,Emilia Serrano de Wilson
Un paseo por el lago negro,40,3,Sin firma
La feria de Ucles,40,43,No firma
La madre de la marquesa (Continuación),41,54,Edmond About
Fábula. El cabello suelto,41,46,Juan Eugenio Hartzembusch
Carta II. Valencia,41,14,María del Pilar Sinués de Marco
La feria de Ucles,41,43,Robustiana Armiño de Cuesta
De la poesía. Su oportunidad y su objeto,41,55,Emilia Mijares de Real
La moneda de oro,41,3,Emilia Serrano de Wilson
"""Una duquesa octogenaria [...]""-""La señora de J [...]""-""El señor X [...]""-""Una aldeana enriquecida [...]""",41,3,Emilia Serrano de Wilson
La escalera,42,40,Fernando Martínez Pedrosa
Carta III. Barcelona,42,14,María del Pilar Sinués de Marco
La moneda de oro (Conclusión),42,3,Emilia Serrano de Wilson
El Brasil,13,57,J. R.
El alma de dudas,13,58,P. C.
El istmo de Panamá,14,59,Desplace
Una peregrinación a Saint-Point,14,60,F. M.
Sin destinos no hay amigos. Proverbio en tres cuadros,15,61,A. Redactor del Charivary
El sombrero del emperador de Austria,19,64,Vizconde de Linas
El amor,26,69,El C. de A.
Feria en Sevilla,35,72,J. de C.
,17,,
El lentigo. De su tratamiento,17,,Sin firma
En la primera página de un álbum,18,63,D. R. Pombo
El mundo para unos. Soneto,18,63,D. R. Pombo
El mundo para otros. Soneto,18,63,D. R. Pombo
Última hora,18,,
Francisco José. Emperador del Austria,19,,Sin firma
"""Constituido ya oficialmente el nuevo Ministerio Inglés"" [...]",19,,Sin firma
Parte oficial publicado por el Monitor de París sobre la atalla de Solferino,20,,
"Censo aproximativo-""En un periódico se lee lo siguiente [...]""-Invento-Histórico",20,,
Al señor de N. y la señora ***,21,67,
El fauno de Goysevox,21,66,
El prólogo. Episodio,21,,Sin firma
El collar,22,68,Mery
El cabello rubio,27,70,
La esposa del sol,28,,Sin firma
"Inauguración del teatro de D. José Piquer-Oda ""Alzad vuestras tumbas [...]""",29,3,Sin firma-Emilia Serrano de Wilson (Oda)
Estudios sobre los primeros tiempos de la Rusia,32,,
Estudios sobre los primeros tiempos de la Rusia. (Conclusión.),33,,
A Safo,42,,Sin firma
Abnegación,42,,Sin firma
